Time(s);RTF
101.30;0.98
101.40;1.05
101.50;1.01
101.60;1.02
101.70;0.73
101.80;1.59
101.90;0.99
102.00;1.00
102.10;1.02
102.20;0.99
102.30;1.01
102.40;1.00
102.50;0.99
102.60;1.01
102.70;0.96
102.80;1.01
102.90;1.00
103.00;1.00
103.10;1.02
103.20;0.98
103.30;1.03
103.40;0.96
103.50;1.00
103.60;1.01
103.70;0.99
103.80;0.98
103.90;1.03
104.00;1.03
104.10;0.99
104.20;1.01
104.30;1.00
104.40;1.00
104.50;1.00
104.60;1.00
104.70;1.01
104.80;1.00
104.90;0.99
105.00;1.00
105.10;1.01
105.20;0.99
105.30;1.00
105.40;0.98
105.50;0.94
105.60;1.05
105.70;1.04
105.80;1.00
105.90;0.99
106.00;0.99
106.10;1.01
106.20;1.00
106.30;1.00
106.40;0.95
106.50;0.92
106.60;1.12
106.70;1.04
106.80;0.95
106.90;1.01
107.00;0.97
107.10;1.04
107.20;0.99
107.30;0.99
107.40;0.96
107.50;0.99
107.60;1.02
107.70;1.04
107.80;1.01
107.90;0.99
108.00;0.99
108.10;1.02
108.20;0.99
108.30;1.00
108.40;0.98
108.50;1.02
108.60;0.99
108.70;1.00
108.80;1.00
108.90;1.00
109.00;0.98
109.10;1.02
109.20;1.00
109.30;1.01
109.40;0.94
109.50;1.00
109.60;1.05
109.70;0.98
109.80;1.00
109.90;0.99
110.00;1.00
110.10;1.00
110.20;0.99
110.30;1.03
110.40;0.99
110.50;1.01
110.60;0.99
110.70;1.01
110.80;1.00
110.90;1.00
111.00;0.99
111.10;1.01
111.20;1.01
111.30;1.00
111.40;0.99
111.50;1.00
111.60;1.00
111.70;1.01
111.80;0.99
111.90;1.02
112.00;0.99
112.10;1.02
112.20;1.00
112.30;1.01
112.40;0.99
112.50;1.01
112.60;0.98
112.70;0.99
112.80;1.01
112.90;1.01
113.00;0.99
113.10;1.00
113.20;1.00
113.30;1.01
113.40;0.99
113.50;1.01
113.60;1.00
113.70;0.99
113.80;1.01
113.90;0.99
114.00;1.02
